x,y,region,country,reportingDate,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da,lumpy
70.495382,55.609609,Europe,Russian Federation,12/9/2019,47.8,8.3,31,0,3.6,-25.1,-20.9,-16.8,1.2,6.34,155,2,104.7709918,0.000793021,1
78.265121,54.895912,Europe,Russian Federation,12/9/2019,53.2,8,31,0,6,-26.6,-22.6,-18.6,1,3.02,154,2,144.7600887,0.000451896,1
74.593919,55.048349,Europe,Russian Federation,12/9/2019,47,8.4,31,0.1,5.1,-26.4,-22.2,-18,0.9,2.59,154,2,229.9346524,0.001855764,1
80.99361,43.54425,Asia,China,26/08/2019,43.6,13.3,31,0.4,11.1,-19,-12.3,-5.7,1.6,1.52,183,3,165.8319872,0,1
74.871614,54.81272,Europe,Russian Federation,21/08/2019,44.5,8.4,31,0,5.1,-26.2,-22,-17.8,1,2.66,152,2,213.1550973,0.002538065,1
78.096482,54.92527,Europe,Russian Federation,21/08/2019,53.2,8,31,0,6,-26.6,-22.6,-18.6,1,3.02,154,2,144.7600887,0.000451896,1
74.871614,54.81272,Europe,Russian Federation,21/08/2019,44.5,8.4,31,0,5.1,-26.2,-22,-17.8,1,2.66,152,2,213.1550973,0.002538065,1
78.096482,54.92527,Europe,Russian Federation,21/08/2019,53.2,8,31,0,6,-26.6,-22.6,-18.6,1,3.02,154,2,144.7600887,0.000451896,1
74.14463,54.5556,Europe,Russian Federation,7/8/2019,44.8,8.3,31,0,5.2,-26.1,-21.9,-17.8,1,2.64,153,2,286.2762257,0.003381517,1
36.4821,35.3084,Asia,Syrian Arab Republic,30/07/2019,69.9,6.6,3.73,1.6,119.1,5.9,9.2,12.5,7.9,17.51,190,2,601.3213745,0,1
46.090064,50.729202,Europe,Russian Federation,29/07/2019,75.5,6.3,30.68,0.2,37.9,-11.7,-8.5,-5.4,2.9,12.86,148,3,234.2697435,0.00451319,1
46.4737,50.634,Europe,Russian Federation,29/07/2019,75.5,6.3,30.68,0.2,37.9,-11.7,-8.5,-5.4,2.9,12.86,148,3,234.2697435,0.00451319,1
35.14742,32.5347,Asia,Israel,13/07/2019,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11,15.38,167,2,1945.913549,0,1
35.386941,32.83736,Asia,Israel,13/07/2019,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11,15.38,167,2,1945.913549,0,1
35.60182,32.68543,Asia,Israel,13/07/2019,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10,13.09,159,2,558.6841025,0,1
35.52139,32.84946,Asia,Israel,13/07/2019,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10,13.09,159,2,558.6841025,0,1
35.386941,32.83736,Asia,Israel,13/07/2019,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11,15.38,167,2,1945.913549,0,1
35.386941,32.83736,Asia,Israel,13/07/2019,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11,15.38,167,2,1945.913549,0,1
35.59485,32.96377,Asia,Israel,13/07/2019,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10,13.09,159,2,558.6841025,0,1
35.10078,32.88721,Asia,Israel,13/07/2019,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11,15.38,167,2,1945.913549,0,1
35.63843,32.75435,Asia,Israel,13/07/2019,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10,13.09,159,2,558.6841025,0,1
35.6,32.8,Asia,Israel,18/06/2019,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10,13.09,159,2,558.6841025,0,1
35.571879,32.905111,Asia,Israel,18/06/2019,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10,13.09,159,2,558.6841025,0,1
35.6,32.8,Asia,Israel,3/6/2019,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10,13.09,159,2,558.6841025,0,1
51.97163,56.704273,Europe,Russian Federation,18/03/2019,66.1,6.2,31,0.1,48,-16.8,-13.7,-10.6,1.9,21.36,155,4,287.8432979,0.000276697,1
